Reference	ID	Tags	Quote	Occurrence	Question	Response
3:5	z1rj				अरू पुस्ताहरूमा मानव जातिलाई थाहा नभएको कुरा परमेश्‍वरले कसलाई प्रकट गर्नुभयो?	परमेश्‍वरले आफ्ना प्रेरितहरू र अगमवक्ताहरूलाई ख्रीष्‍टको बारेमा लुकेको सत्य प्रकट गर्नुभयो।
3:6	yqfk				के लुकेको सत्य प्रकट गारियो?	प्रकट भएको लुकेको सत्य यो हो कि अन्यजातिहरू सह-उत्तराधिकारीहरू र शरीरका सँगी सदस्यहरू हुन्, र ख्रीष्‍ट येशूमा प्रतिज्ञामा सह-साझेदारहरू हुन्।
3:7	pze1				पावललाई के उपहार दिइएको थियो?	परमेश्‍वरको अनुग्रहको उपहार पावललाई दिइएको थियो।
3:9	vmv4				अन्यजातिहरूलाई केको बारेमा बुझ्‍न मद्दत गर्न पावललाई पठाइएको थियो?	पावललाई अन्यजातिहरूलाई परमेश्‍वरमा युग-युगदेखि लुकेको रहस्यको प्रशासन बुझ्‍न मद्दत गर्न पठाइएको थियो।
3:10	b78b				परमेश्‍वरको जटिल बुद्धि के मार्फत प्रकट गरिनेछ?	मण्डली मार्फत परमेश्‍वरको जटिल बुद्धिको बारेमा  प्रकट गरिनेछ।
3:12	nmv2				ख्रीष्‍टमा विश्‍वासको कारणले विश्‍वासीहरूसँग के छ भनी पावल भन्छन्?	पावल भन्छन् कि ख्रीष्‍टमा विश्‍वासको कारण विश्‍वासीहरूसँग साहस र पहुँच छ।
3:15	hwo6				पिताद्वारा केको नाउँ दिइएको र सृष्‍टि गरिएको छ?	स्वर्ग र पृथ्वीमा भएको हरेक परिवारको नाउँ पिताको नाउँबाट सृष्‍टि गरिएको छ।
3:16	z07f				विश्‍वासीहरूलाई बलियो बनाउन पावलले कसरी प्रार्थना गर्छन्?	पावलले विश्‍वासीहरूलाई परमेश्‍वरको आत्माको शक्तिद्वारा बलियो हुनको लागि प्रार्थना गर्छन्।
3:18	oiyq				विश्‍वासीहरूले के कुरा बुझ्‍न सक्ने होस् भनेर पावलले प्रार्थना गर्छन्?	ख्रीष्‍टको प्रेम कति चौडा र लामो र उच्च र गहिरो छ भनेर विश्‍वासीहरूले बुझ्‍न सकून् भनी पावलले प्रार्थना गर्छन्।
3:21	wrv8				पावलले सबै पुस्ताहरूसम्म पितालाई के दिइनेछ भनेर प्रार्थना गर्छन्?	पावलले सबै पुस्ताहरूसम्म पितालाई मण्डली र ख्रीष्‍ट येशूमा महिमा दिइयोस् भनि प्रार्थना गर्छन्।
4:1	kohd				पावलले विश्‍वासीहरूलाई कसरी जीवन यापन गर्न आग्रह गर्छन्?	पावलले विश्‍वासीहरूलाई उनीहरूको बोलावट योग्यको बाटोमा हिँड्न आग्रह गर्छन्।
4:7	cur4				ख्रीष्‍टले आफ्नो स्वर्गारोहण पछि प्रत्येक विश्‍वासीलाई के दिनुभयो?	ख्रीष्‍टले प्रत्येक विश्‍वासीलाई ख्रीष्‍टको वरदानको नाप अनुसार अनुग्रह दिनुभयो।
4:11	egfm				पावलले कुन पाँच प्रकारका मानिसहरूलाई ख्रीष्‍टले दिनुभयो भन्छन्?	ख्रीष्‍टले प्रेरितहरू, अगमवक्ताहरू, प्रचारकहरू, पास्टरहरू र शिक्षकहरू दिनुभयो।
4:12	rx7d				यी पाँच प्रकारका मानिसहरूले मण्डलीको लागि के गर्नुपर्छ?	यी पाँच प्रकारका मानिसहरूले विश्‍वासीहरूलाई सेवाको कामको लागि, शरीर निर्माणको लागि सुसज्‍जित गराउनुपर्छ।
4:14	jkl7				विश्‍वासीहरू बालकहरू जस्तै हुन सक्छन् भनेर पावलले कसरी भन्छन्?	विश्‍वासीहरू मानिसहरूको छल र भ्रष्‍ट छलबाट फ्याँकिएर र बहकाइएर बच्चाहरू जस्तै हुन सक्छन्।
4:16	twjt				विश्‍वासीहरूको शरीर कसरी निर्माण हुन्छ भनी पावलले भन्छन्?	विश्‍वासीहरूको शरीर प्रेममा प्रत्येकको निर्माणको लागि सँगै जोडिएको हुन्छ, प्रत्येक जोर्नीद्वारा एकसाथ राखिएको हुन्छ र प्रत्येक भागले शरीरको वृद्धिमा काम गर्दछ।
4:17	hbr0				पावलले अन्यजातिहरू कसरी हिँड्छन् भनी भन्छन्?	अन्यजातिहरू आफ्नो मनको व्यर्थतामा हिँड्छन्।
4:18	semg				पावलले अन्यजातिहरूको समझमा के भयो भन्‍छन्?	अन्यजातिहरूको समझ अन्धकार भएको छ।
4:19	idj7				अन्यजातिहरूले आफूलाई केमा सुम्पेका छन्?	अन्यजातिहरूले हरेक प्रकारको अशुद्धता गर्न आफूलाई कामुकतामा सुम्पेका छन्।
4:22	xb3h				विश्‍वासीहरूले  के त्यागनुपर्छ भनि पावल भन्छन्?	विश्‍वासीहरूले अगाडिको जिवनसँग सम्बन्धित कुराहरू त्याग्‍नुपर्छ।
4:24	qxog				विश्‍वासीहरूले के धारण गर्नुपर्छ भनी पावल भन्छन्?	विश्‍वासीहरूले नयाँ स्वभाव धारण गर्नुपर्छ।
4:27	envj				विश्‍वासीले कसलाई कहिल्यै मौका दिनु हुँदैन?	एक विश्‍वासीले कहिल्यै शैतानलाई मौका दिनु हुँदैन।
4:28	q8cl				विश्‍वासीहरूले चोर्नुको सट्टा के गर्नुपर्छ?	विश्‍वासीहरूले परिश्रम गर्नुपर्छ ताकि तिनीहरूले आवश्यकता भएको व्यक्तिसँग बाँड्न सक्षम हुन सकून्।
4:29	b6bl				पावलले कस्तो किसिमको कुरा विश्‍वासीको मुखबाट निस्किनुपर्छ भनी भन्छन्?	विश्‍वासीको मुखबाट कुनै भ्रष्‍ट कुरा निस्कनु हुँदैन, तर, अरूलाई सुधार गर्ने शब्दहरू निस्कनुपर्छ।
4:30	zfzo				विश्‍वासीले कसलाई दुःखित तुल्याउनु हुँदैन?	विश्‍वासीले पवित्र आत्मालाई दुःखित तुल्याउनु हुँदैन।
4:32	lt6b				ख्रीष्‍टमा परमेश्‍वरले उसलाई क्षमा दिनुभएकोले विश्‍वासीले के गर्नुपर्छ?	एक विश्‍वासीले अरूलाई क्षमा गर्नुपर्छ किनभने ख्रीष्‍टमा परमेश्‍वरले उसलाई क्षमा गर्नुभयो।
5:1	h41a				विश्‍वासीहरूले कसको देखासिकी गर्नुपर्छ?	विश्‍वासीहरूले परमेश्‍वरलाई पितालाई उहाँको सन्तानको रूपमा देखासिकी गर्नुपर्छ।
5:2	phye				ख्रीष्‍टले के गर्नुभयो जुन परमेश्‍वरलाई मनपर्ने सुगन्ध थियो?	ख्रीष्‍टले आफूलाई विश्‍वासीहरूका लागि परमेश्‍वरलाई भेटी र बलिदानको रूपमा अर्पण गर्नुभयो।
5:3	s9zi				विश्‍वासीहरू माझ के सुझाव दिनु हुँदैन?	विश्‍वासीहरूका बीचमा यौन अनैतिकता, अशुद्धता र लोभको सुझाव दिनु हुँदैन।
5:4	sfg2				बरु विश्‍वासीहरू माझ कस्तो मनोवृत्ति देखिनुपर्छ?	विश्‍वासीहरूले बरु कृतज्ञताको मनोवृत्ति राख्नुपर्छ।
5:5	i4qh				ख्रीष्‍ट र परमेश्‍वरको राज्यमा कसको कुनै उत्तराधिकार छैन?	यौन अनैतिक, अपवित्र र लोभीको ख्रीष्‍ट र परमेश्‍वरको राज्यमा कुनै उत्तराधिकार छैन।
5:6	j1pu				अनाज्ञाकारिताका सन्तानहरूमा के आउँदैछ?	अनाज्ञाकारिताका सन्तानहरूमाथि परमेश्‍वरको क्रोध आउँदैछ।
5:9	myke				ज्योतिको कुन फल प्रभुलाई मनपर्छ?	भलाइ, धार्मिकता र सत्यताको फल प्रभुलाई मनपर्छ।
5:11	cozk				अन्धकारका कार्यहरूमा विश्‍वासीहरूले के गर्नुपर्छ?	विश्‍वासीहरूले अन्धकारका कार्यहरूमा भाग लिनु हुँदैन, तर यसको सट्टामा प्रकट गरिदिनुपर्छ।
5:13	c140				ज्योतिले के प्रकट गर्छ?	ज्योतिले सबै कुरा प्रकट गर्छ।
5:16	rsil				दिनहरू खराब भएकाले  विश्‍वासीहरूले के गर्नुपर्छ?	विश्‍वासीहरूले समयलाई सदुपयोग गर्नुपर्छ किनकि दिनहरू खराब छन्।
5:18	hbup				केले लापरवाहीमा पुर्याउँदछ?	दाखमद्य पिउनुले लापरवाहीमा पुर्याउँदछ।
5:19	z9n1				विश्‍वासीहरूले एक-अर्कासँग केको साथ बोल्नुपर्छ?	विश्‍वासीहरूले एक-अर्कासँग भजन, गीत र आत्मिक गानको साथ बोल्नुपर्छ।
5:22	ez75				पत्‍नीहरू कसरी आफ्नो पतिको अधीनमा हुनुपर्छ?	पत्‍नीहरू प्रभुको अधीनमा भएझैँ आफ्नो पतिको अधीनमा हुनुपर्छ।
5:23	vtsa				पति केको शिर हो र ख्रीष्‍ट केको शिर हुनुहुन्छ?	पति पत्‍नीको शिर हो र ख्रीष्‍ट मण्डलीको शिर हुनुहुन्छ।
5:26	fj85				ख्रीष्‍टले मण्डलीलाई कसरी पवित्र गर्नुहुन्छ?	ख्रीष्‍टले मण्डलीलाई वचनको साथ पानीले धोएर मण्डलीलाई पवित्र बनाउनुहुन्छ।
5:28	yfre				पतिले आफ्नी पत्‍नीलाई  कसरी प्रेम गर्नुपर्छ?	पतिले आफ्नी पत्‍नीलाई आफ्नो शरीरलाई जस्तै प्रेम गर्नुपर्छ।
5:29	cbzx				एक व्यक्तिले आफ्नो शरीरलाई कसरी पालनपोषण गर्छ?	एक व्यक्तिले आफ्नो शरीरलाई पोषण र प्रेम गर्छ।
5:31	jlm2				पुरुषले आफ्नी श्रीमतीसँग मिल्दा के हुन्छ ?	जब पुरुष आफ्नी पत्‍नीसँग मिल्छन्, तिनीहरू एउटै शरीर हुन्छन्।
5:32	xvhc				एक जना पुरुष र तिनकी पत्‍नीको मिलनबाट के लुकेको सत्य प्रदर्शित हुन्छ?	ख्रीष्‍ट र उहाँको मण्डलीको बारेमा लुकेको सत्य एक पुरुष र तिनकी पत्‍नीको संलग्‍नताद्वारा प्रदर्शन गरिएको छ।
6:1	y6zt				ख्रीष्‍टियान छोराछोरीले आफ्ना आमाबाबुलाई कस्तो व्यवहार गर्नुपर्छ?	ख्रीष्‍टियान छोराछोरीहरूले आफ्ना आमाबाबुको आज्ञा पालन गर्नुपर्छ।
6:4	ion7				ख्रीष्‍टियान बुबाहरूले आफ्ना छोराछोरीहरूको लागि के गर्नुपर्छ?	ख्रीष्‍टियान बुबाहरूले आफ्ना छोराछोरीहरूलाई प्रभुको अनुशासन र निर्देशनमा हुर्काउनु पर्छ।
6:5	m5qy				ख्रीष्‍टियान दासहरूले आफ्ना मालिकहरूको आज्ञा पालन गर्ने मनोवृत्ति कस्तो हुनुपर्छ?	ख्रीष्‍टियान दासहरूले प्रभुको लागि आफ्नो हृदयको इमानदारीतामा आफ्ना मालिकहरूको आज्ञा पालन गर्नुपर्छ।
6:8	igtl				विश्‍वासीले जे सुकै राम्रो काम गर्छ त्यसमा के याद गर्नुपर्छ?	एक विश्‍वासीले याद गर्नुपर्छ कि उसले जे पनि राम्रो काम गर्छ, उसले प्रभुबाट इनाम पाउनेछ।
6:9	c98l				ख्रीष्‍टियान मालिकले आफ्नो मालिकको बारेमा के याद गर्नुपर्छ?	एक ख्रीष्‍टियान मालिकले याद गर्नुपर्छ कि उसको र उसको सेवकको मालिक स्वर्गमा हुनुहुन्छ, र उहाँसँग कुनै पक्षपात छैन।
6:11	wg7y				किन एक विश्‍वासीले परमेश्‍वरको सम्पूर्ण हातहतियार धारण गर्नुपर्छ?	एक विश्‍वासीले शैतानको दुष्‍ट योजनाहरू विरुद्ध खडा हुनको लागि परमेश्‍वरको सम्पूर्ण हातहतियार धारण गर्नुपर्छ।
6:12	zmqf				एक विश्‍वासी कस्को विरुद्ध लड्छ?	एक विश्‍वासी प्रधानताहरू र अन्धकारको क्षेत्रका शासकहरू र दुष्‍टको आत्मिक शक्तिहरू विरुद्ध लड्छ।
6:13	za87				किन एक विश्‍वासीले परमेश्‍वरको सम्पूर्ण हातहतियार धारण गर्नुपर्छ?	एक विश्‍वासीले शैतानको दुष्‍ट योजनाहरू विरुद्ध खडा हुनको लागि परमेश्‍वरको सम्पूर्ण हातहतियार धारण गर्नुपर्छ।
6:16	gqxm				परमेश्‍वरको कुन हतियारले दुष्‍टको अग्‍निबाण निभाउछ?	विश्‍वासको ढालले दुष्‍टको अग्‍निबाण निभाउछ।
6:17	bpie				आत्माको तरवार के हो?	आत्माको तरवार परमेश्‍वरको वचन हो।
6:18	dq4h				विश्‍वासीहरूले प्रार्थनामा आफूलाई कस्तो आचरणमा राख्नुपर्छ?	विश्‍वासीहरूले सधैँ दृढतापूर्वक र परमेश्‍वरलाई जवाफको लागि हेर्दै प्रार्थना गर्नुपर्छ।
6:19	arf6				एफिसीहरूका प्रार्थनाहरूद्वारा पावलले के प्राप्त गर्न चाहन्छन्?	पावलले सुसमाचार बोल्दा साहसका साथ उहाँलाई वचन दिइएको चाहन्छन्।
6:20	y4yi				पावलले यो पत्र लेख्दा कहाँ छन्?	पावलले यो पत्र लेख्दा जेलमा बाँधिएका छन्।
6:23	zo18				पावलले परमेश्‍वर पिता र प्रभु येशू ख्रीष्‍टले विश्‍वासीहरूलाई के दिनुहुन्छ भनी सोध्छन्?	परमेश्‍वरले तिनीहरूलाई विश्‍वासको साथ शान्ति र प्रेम दिनुहुनेछ भनी पावलले सोध्छन्।
