Reference	ID	Tags	Quote	Occurrence	Question	Response
2:2	jca3				पावलले तिनीहरुलाई के विश्वास नगर्नु भन्छन् ?	पावलले तिनीहरूलाई प्रभु आइसक्नुभएको छ भनि विश्वास नगर्न भन्छन् ।
2:3	cbj7				प्रभुको दिन आउनुभन्दा अघि के हुनुपर्छ भनि पावल भन्छन् ?	प्रभुको आगमन अघि धेरै मानिसहरू पतन हुनेछन् र व्यवस्था विनाका मानिसको प्रकट हुनेछ ।
2:4	aenu				व्यवस्था विनाका मानिसले के गर्नेछ ?	व्यवस्था विनाका मानिसले विरोध गर्छ र परमेश्वरको मन्दिरमा बसेर आफैलाई परमेश्वर घोषणा गर्दै आफुलाई परमेश्वर भन्दा उच्च तुल्याउँछ । 
2:6-7	m3ei				व्यवस्था विनाको मानिस कहिले प्रकट गराइनेछ? 	जब समय आउँछ, जब उसलाई रोक्नेलाई टाढा लगिन्छ तब व्यवस्था विनाको मानिस प्रकट गराइनेछ।
2:8	v3y7				जब येशू प्रकट हुनुहुन्छ तब येशूले व्यवस्था विनाको मानिसलाई के गर्नुहुनेछ ?	जब येशू प्रकट हुनुहुन्छ तब येशूले व्यवस्था विनाको मानिसलाई मार्नुहुनेछ । 
2:9	gek1				व्यवस्था विनाको मानिसलाई शक्ति, चिन्हहरू र ग़लत आश्चर्यहरू कसले  गराइरहेको छ ?	व्यवस्था विनाको मानिसलाई शक्ति, चिन्हहरू र ग़लत आश्चर्यहरू शैतानले  गराइरहेको छ
2:10	fdlk				किन कोही कोही व्यवस्था रहित मानिसद्वारा धोका पाए र नाश हुदैछन् ?	कोही कोहीले धोका पाइरहेका छन् किनभने तिनीहरूले सत्यताको प्रेम ग्रहण गरेका छैनन् जसद्वारा तिनीहरू बाँच्न सक्छन् ।
2:12	oun0				के कुरामा धोका पाएका र नाश भइरहेकाहरूले आनन्द लिन्छन् ? 	धोका पाएका र नाश भइरहेकाहरूले अधर्ममा आनन्द लिन्छन् ।
2:13-14	mrfp				सुसमाचारद्वारा के प्राप्त गर्न परमेश्वरले थेसलोनिकीलाई चुन्नुभयो ?	परमेश्वरले थेसलोनिकीलाई सुसमाचारद्वारा प्रभु येशू ख्रीष्टको महिमा प्राप्त गर्न चुन्नुभयो ।
2:15	nrvi				तिनीहरूले सुसमाचार ग्रहण गरेको हुनाले पावलले अब थेसलोनिकीहरूलाई के गर्न आहवान गर्छन् ?	पावलले थेसलोनिकीहरूलाई स्थिर भइरहन र तिनीहरूलाई सिकाएको परम्परा पक्रिराख्न आहवान गर्छन् ।
2:17	hvs1				थेसलोनिकीहरूको ह्रदयमा के स्थापित भएको पावलले चाहना गर्छन् ?	थेसलोनिकीहरू हरेक असल काममा र वचनमा स्थापित भएको पावलले चाहना गर्छन् ।
3:1	adu1				प्रभुको वचनको सम्बन्धमा थेसलोनिकीहरूले के प्रार्थना गरेको पावल चाहन्छन् ?	पावल चाहन्छन् कि थेसलोनिकीहरूले प्रभुको वचन तिव्र फैलिन र महिमित हुन प्रार्थना गरून् ।
3:2	l2h7				पावलले कसबाट छुट्कारा पाउने इच्छा गर्छन् ?	पावलले विश्वास नभएका दुष्ट र ख़राब मानिसबाट छुट्कारा पाउने इच्छा गर्छन् ।
3:4	ogez				पावलले थेसलोनिकीहरूलाई के गरिरहन भन्छन् ?	पावलले तिनीहरूलाई दिएको आज्ञा पालन गरिरहन उनले थेसलोनिकीहरूलाई भन्छन् ।
3:6	edcy				पावलद्वारा प्राप्त गरेको परम्परा अनुसार नचल्ने र अव्यवस्थित रुपमा हिड्ने हरेक भाइहरूसँग विश्वासीहरूले कस्तो प्रतिक्रिया दिनुपर्छ ?	पावलद्वारा प्राप्त गरेको परम्परा अनुसार नचल्ने र अव्यवस्थित रुपमा हिड्ने हरेक भाइहरूबाट विश्वासीहरू टाढा रहनुपर्छ ।
3:7-8	t5yn				उनको काम र सहायताको लागी पावलले थेसलोनिकीहरूको निम्ति के उदाहरण बने ?	पावलले दिन र रात मेहनत गरे, आफ्नो खानाको खर्च तिरे, र कसैको निम्ति भार बनेनन् ।
3:10	ui5r				काम गर्न मन नगर्ने मानिसको सम्बन्धमा पावलले के आज्ञा दिन्छन् ?	काम गर्न मन नगर्ने मानिसलाई पावलले खाना नखाने आज्ञा दिन्छन् ।
3:12	w1vf				अल्छी हुनुको सट्टा, त्यस्ता मानिसहरूलाई पावलले के गर्ने आज्ञा दिन्छन् ?	पावलले अल्छीहरूलाई चुपचाप काम गर्न र आफ्नै खाना खान आज्ञा दिन्छन् ।
3:14	peg1				यो पत्रमा पावलले दिएको निर्देशन पालन नगर्ने जो कोहीसँग भाइहरूले के गर्नु हो ?	यो पत्रमा पावलले दिएको निर्देशन पालन नगर्ने जो कोहीसँग भाइहरूले संगत नगर्नु हो ।
3:16	mux2				प्रभुले थेसलोनिकीहरूलाई के देऊन भनि पावलले चाहना गर्छन् ?	प्रभुले थेसलोनिकीहरूलाई सबै समय सबै कुरामा शान्ति देऊन भनि पावलले चाहना गर्छन् ।
3:17	g0md				पावलले कसरी उनी यो पत्रको लेखक हो भनि देखाउँछन् ?	उनी लेखक हुन् भनी चिन्हको लागी पावलले आफ्नै हातले अभिवादन लेखे ।
