Reference	ID	Tags	Quote	Occurrence	Question	Response
3:2	ylu8				पावलले विश्वासीहरूलाई कसको लागि होसियार हुन चेतावनी दिन्छ?	पावलले विश्वासीहरूलाई कुकुरहरू, दुष्ट काम गर्नेहरू र विकृतहरूबाट होसियार रहन चेतावनी दिन्छन्।
3:3	qgbe				पावलले साँचो खतना कसलाई भन्छन्?	पावल भन्छन् कि साँचो खतना ती हुन् जसले परमेश्वरको आत्मामा आराधना गर्छन्, ख्रीष्ट येशूमा महिमा गर्छन्, र शरीरमा भरोसा गर्दैनन्।
3:6	jsnk				पावलले व्यवस्थाको धार्मिकताको सन्दर्भमा आफ्नो अघिल्लो आचरणलाई कसरी वर्णन गर्छन्?	पावलले आफ्नो अघिल्लो आचरणलाई व्यवस्थाको धार्मिकताको सन्दर्भमा निर्दोषको रूपमा वर्णन गर्दछ।
3:7	ieyj				पावलले आफ्नो शरीरमा पहिलेको भरोसालाई अहिले कसरी हेर्नुहुन्छ?	पावलले अब ख्रीष्टको कारणले शरीरमा आफ्नो सबै अघिल्लो विश्वासलाई व्यर्थ ठान्छन्।
3:8	jzfo				पावलले अहिले पहिलेका सबै कुराहरूलाई फोहोरको रूपमा कुन उद्देश्यका लागि ठान्छन्?	ख्रीष्टलाई प्राप्त गर्नको लागि पावलले अघिल्ला सबै कुराहरूलाई फोहोर ठान्छन्।
3:9	easa				पावलसँग अहिले कस्तो धार्मिकता छ?	पावलसँग अब परमेश्वरबाट धार्मिकता छ जुन ख्रीष्टमा विश्वासद्वारा हुन्छ।
3:10	c5cv				पावलले केमा ख्रीष्टसँग सङ्गति राखेका छन्?	पावलसँग ख्रीष्टको पीडाको सङ्गति छ।.
3:12	iktp				उहाँ अझै पूर्ण नभए तापनि पावलले के गरिरहनुभएको छ?	पावलले येशूले उहाँलाई समात्नुको कारण बुझ्न सिद्धताको पछि लाग्दछ।
3:14	nqy3				पावल कुन लक्ष्यतर्फ अघि बढ्छन्?	पावलले ख्रीष्ट येशूमा परमेश्वरको माथिको बोलावटको पुरस्कार जित्नको लागि लक्ष्य तिर थिच्नुहोस्।
3:17	onyo				पावलले फिलिप्पीहरूलाई आफ्नो हिँडेको उदाहरणको सन्दर्भमा के गर्न भन्छन्?	पावलले फिलिप्पीहरूलाई आफ्नो हिँडाइमा सामेल हुन र उहाँको अनुकरण गर्न भन्छन्।
3:19	ujgt				पेट देवता भएका र सांसारिक कुराहरू सोच्नेहरूको भाग्य के हुन्छ?	जसको देवता आफ्नो पेट हो र जो सांसारिक चीजहरूको बारेमा सोच्छन् तिनीहरू विनाशको लागि भाग्यमा छन्।
3:20	r8z5				विश्वासीहरूको नागरिकता कहाँ छ भनी पावलले बताए?	पावल भन्छन् कि विश्वासीहरूको नागरिकता स्वर्गमा छ।
3:21	m90c				ख्रीष्ट स्वर्गबाट आउँदा विश्वासीहरूको शरीरलाई के गर्नुहुनेछ?	ख्रीष्टले विश्वासीहरूको नीच शरीरलाई उहाँको महिमित शरीर जस्तै बनाइएका शरीरहरूमा परिवर्तन गर्नुहुनेछ।
4:1	lmuj				फिलिप्पीमा भएका आफ्ना प्रिय साथीहरूले पावलले के गरेको चाहन्छन्?	पावल फिलिप्पीहरू प्रभुमा दृढ उभिन चाहन्छन्।
4:2	oafh				पावल युओदिया र सिन्तुकेसँग के भएको हेर्न चाहन्छन्?	पावल युओदिया र सिन्तुकेलाई प्रभुमा एउटै मन भएको हेर्न चाहन्छन्।
4:4	l4i8				पावलले फिलिप्पीहरूलाई सधैं के गर्न भन्छन्?	पावलले तिनीहरूलाई प्रभुमा सधैं रमाउन भन्छन्।
4:6	minr				चिन्तित हुनुको सट्टा पावलले के गर्न भन्छन्?	पावल भन्छन् कि चिन्तित हुनुको सट्टा, हामीले प्रार्थनामा परमेश्वरलाई हामीलाई के चाहिन्छ भन्नुपर्छ र उहाँलाई धन्यवाद दिनुपर्छ।
4:7	ytr6				यदि हामीले यसो गऱ्‍यौं भने हाम्रो हृदय र विचारलाई के सुरक्षित राख्छ?	यदि हामीले यसो गऱ्यौं भने, परमेश्‍वरको शान्तिले हाम्रो हृदय र विचारहरूको रक्षा गर्नेछ।
4:8	sta3				पावलले कस्तो प्रकारका कुराहरू सोच्नको लागि भन्छन्?	पावलले आदरणीय, न्यायोचित, शुद्ध, मनमोहक, राम्रो रिपोर्टका, उत्कृष्ट र प्रशंसनीय कुराहरूमा विचार गर्न भन्छन्।
4:10	i20a				फिलिप्पीहरूले अब के नवीकरण गर्न सक्षम भएका छन्?	फिलिप्पीहरू अब पावलको लागि आफ्नो चासो नवीकरण गर्न सक्षम भएका छन्।
4:11-12	gk7e				विभिन्न परिस्थितिहरूमा जीवन बिताउनेबारे पावलले कुन रहस्य सिकेका छन्?	पावलले प्रशस्तता र आवश्यकता दुवैमा सन्तुष्ट भएर बाँच्ने रहस्य सिकेका छन्।
4:13	gh6b				पावलले कुन शक्तिले सन्तुष्ट जीवन बिताउन सक्छ?	पावलले उहाँलाई बलियो बनाउनुहुने ख्रीष्टद्वारा सबै परिस्थितिहरूमा सन्तुष्ट भएर बाँच्न सक्छन्।
4:17	kjry				पावलले फिलिप्पीवासीहरूलाई आफ्ना आवश्यकताहरू पूरा गर्नको लागि के खोज्छन्?	पावलले फिलिप्पीहरूको खातामा वृद्धि हुने फल खोज्छन्।
4:18	mnvi				फिलिप्पीहरूले पावललाई दिएको उपहारलाई परमेश्वरले कसरी हेर्नुहुन्छ?	फिलिप्पीवासीहरूले पावललाई दिएको उपहारमा परमेश्वर प्रसन्न हुनुहुन्छ।
4:19	m6vc				पावलले फिलिप्पीवासीहरूका लागि परमेश्वरले के गर्नुहुनेछ भन्नुहुन्छ?	पावल भन्छन् कि परमेश्वरले फिलिप्पीहरूको हरेक आवश्यकतालाई उहाँको ख्रीष्ट येशूमा महिमाको धन अनुसार पूरा गर्नुहुनेछ।
4:22	j5w3				पावलले फिलिप्पीहरूलाई कुन-कुन घरपरिवारले अभिवादन गर्छ भनी बताउँछन्?	सिजरका परिवारका मानिसहरूले फिलिप्पीहरूलाई अभिवादन गर्छन्।
