Reference	ID	Tags	Quote	Occurrence	Question	Response
2:3	o2gw				हामीले येशू ख्रीष्‍टलाई चिनेका छौँ भनेर कसरी थाहा पाउछौँ?	यदि हामीले उहाँका आज्ञाहरू पालन गर्छौँ भने हामीले उहाँलाई चिनेका छौँ भनी हामी जान्दछौँ।
2:4	oq37				कुस्तो प्रकारको व्यक्तिले भन्छ कि उसले परमेश्‍वरलाई चिन्छ, तर परमेश्‍वरको आज्ञाहरू पालन गर्दैन?	झूटो बोल्नेले परमेश्‍वरलाई चिन्छु भन्छ, तर परमेश्‍वरको आज्ञा पालन गर्दैन।
2:6	djan				यदि कसैले ऊ ख्रीष्‍टमा रहन्छ भनी भन्छ भने उसले कसरी हिँड्नुपर्छ?	जसरी येशू ख्रीष्‍ट हिँड्नुभयो त्यसरी नै ऊ हिँड्नुपर्छ।
2:9	d7er				आफू ज्योतिमा छु भनी भाइलाई घृणा गर्ने व्यक्तिको आत्मिक अवस्था कस्तो हुन्छ?	म उज्यालोमा छु भनी कोही भन्छ, तर आफ्नो भाइलाई घृणा गर्छ, त्यो अन्धकारमा छ।
2:11	t52d				आफ्नो भाइलाई घृणा गर्ने व्यक्तिको आत्मिक अवस्था कस्तो हुन्छ?	जसले आफ्नो भाइलाई घृणा गर्छ त्यो मानिस अन्धकारमा छ र अन्धकारमा हिँड्छ।
2:12	w6ak				किन परमेश्‍वरले विश्‍वासीहरूको पाप क्षमा गर्नुहुन्छ?	परमेश्‍वरले आफ्नो नाउँको कारणले विश्‍वासीहरूको पाप क्षमा गर्नुहुन्छ।
2:15	afbd				संसारका चीजहरूप्रति विश्‍वासीको द‍ृष्टिकोण कस्तो हुनुपर्छ?	एक विश्‍वासीले संसार र संसारका चीजहरूलाई प्रेम गर्नु हुँदैन।
2:16	pfzu				पिताबाट नभई संसारबाट आउने तीनवटा कुराहरू के-के हुन्?	शरीरको अभिलाषा, आँखाको अभिलाषा, र जीवनको शेखी संसारबाट हो, पिताबाट होइन।
2:18	cd02				हामीलाई ख्रीष्‍ट विरोधी बारे के थाहा छ?	हामीलाई थाहा छ कि त्यो आउँदै छ।
2:18	dz04				यो आखिरी घड़ी हो भनेर हामीले कसरी थाहा पाउने?	हामीलाई थाहा छ यो अन्तिम घडी हो किनभने धेरै ख्रीष्‍ट विरोधीहरू आएका छन्।
2:22	u6q4				हामीले ख्रीष्‍ट विरोधीलाई कसरी चिन्‍न सक्छौँ?	ख्रीष्‍ट विरोधीले पिता र पुत्रलाई अस्वीकार गर्नेछ।
2:23	g5cr				के कसैले पुत्रलाई अस्वीकार गरेर पनि पितामा छ?	होइन, पुत्रलाई अस्वीकार गर्ने पितामा हुन सक्दैन।
2:24	x90k				पुत्र र पितामा रहन विश्‍वासीहरूले के गर्नुपर्छ?	तिनीहरूले सुरुदेखि सुनेका कुराहरूमा रहिरहनुपर्छ।
2:25	n42d				परमेश्‍वरले विश्‍वासीहरूलाई के प्रतिज्ञा गर्नुभएको छ?	परमेश्‍वरले विश्‍वासीहरूलाई अनन्त जीवनको प्रतिज्ञा गर्नुभएको छ।
2:28	yjr1				यदि हामी उहाँमा रह्‍यौँ भने ख्रीष्‍ट प्रकट हुनुहुँदा हामीले कस्तो मनोवृत्ति गर्नेछौँ?	यदि हामी उहाँमा रह्‍यौँ भने, हामीमा साहस हुनेछ र ख्रीष्‍ट देखा पर्दा शर्ममा पर्नेछैनौँ।
3:1	uc2n				पिताले विश्‍वासीहरूलाई कसरी आफ्नो प्रेम व्यक्त गर्नुभएको छ?	उहाँले तिनीहरूलाई परमेश्‍वरका सन्तान भनिन सम्‍भव बनाउनुभएको छ।
3:2	voao				ख्रीष्‍ट प्रकट हुनुहुँदा विश्‍वासीहरूलाई के हुनेछ?	जब ख्रीष्‍ट प्रकट हुनुहुन्छ, विश्‍वासीहरू ख्रीष्‍ट जस्तै हुनेछन् किनभने तिनीहरूले उहाँलाई उहाँ जस्तै देख्‍नेछन्।
3:3	vruc				ख्रीष्‍टमा आशा राख्‍ने प्रत्येक विश्‍वासीले आफ्नो बारेमा कस्तो कदम चाल्नुपर्छ?	ख्रीष्‍टमा आशा गर्ने हरेक विश्‍वासीले आफूलाई शुद्ध गर्नुपर्छ।
3:5	knzf				ख्रीष्‍ट आफैमा के छैन?	ख्रीष्‍ट आफैमा कुनै पाप छैन।
3:6	mw43				यदि एक व्यक्तिले पाप गरिरहन्छ भने, यसले हामीलाई परमेश्‍वरसँगको सम्बन्धको बारेमा के बताउँछ?	यसले हामीलाई बताउँछ कि तिनीहरूले न त ख्रीष्‍टलाई  देखेका छन्, न त उहाँलाई चिनेका छन्।
3:8	rioa				कुन कारणले परमेश्‍वरको पुत्र प्रकट हुनुभएको थियो?	दियाबलसको कामहरू नष्‍ट गर्नको लागि परमेश्‍वरको पुत्र प्रकट हुनुभएको थियो।
3:9	xjny				परमेश्‍वरबाट जन्मेको मानिसले किन पाप गरिरहन सक्दैन?	उसले पाप गर्न जारी राख्‍न सक्दैन किनभने परमेश्‍वरको बीउ उसमा रहन्छ।
3:10	sgt9				दियाबलसका पुत्रहरू कसरी प्रकट हुन्छन्?	दियाबलसका छोराछोरीहरू स्पष्‍ट छन् किनभने तिनीहरू धार्मिकतामा चल्दैनन् र तिनीहरूले आफ्नो भाइलाई प्रेम गर्दैनन्।
3:11	wswk				हामीले सुरुदेखि नै सुनेको सन्देश के हो?	सन्देश हामीले एकअर्कालाई प्रेम गर्नुपर्छ भन्‍ने हो।
3:12	bo8y				आफू दुष्‍टबाट आएको भनेर कयिनले कसरी देखाए?	कयिनले आफ्नो भाइको हत्या गरेर आफू दुष्‍टबाट आएको देखाए।
3:13	tyil				विश्‍वासीहरूलाई के कुरामा अचम्म नमान्‍नु भनी यूहन्‍नाले भन्छन्?	यूहन्‍ना भन्छन् कि विश्‍वासीहरू संसारले तिनीहरूलाई घृणा गर्ने कुरामा अचम्म मान्‍नु हुँदैन।
3:14	hiyp				हामी मृत्युबाट जीवनमा सरेका छौँ भनी कस्तो मनोवृत्तिले देखाउँछ?	हामीलाई थाहा छ कि हामी मृत्युबाट जीवनमा सरेका छौँ किनभने हामी भाइहरूलाई प्रेम गर्छौं।
3:16	n128				हामीले प्रेमलाई कसरी चिनेका छौँ?	हामीले प्रेमलाई चिनेका छौँ किनभने ख्रीष्‍टले हाम्रो लागि आफ्नो जीवन अर्पण गर्नुभयो।
3:17	uefx				कुनै व्यक्तिमा परमेश्‍वरको प्रेम छैन भनी के कुराले संकेत गर्छ?	जब कुनै धनी व्यक्तिले आफ्नो दाजुभाइलाई खाँचोमा परेको देख्छ तर उसलाई सहयोग गर्दैन, त्यो व्यक्तिमा परमेश्‍वरको प्रेम रहँदैन।
3:18	ecze				हाम्रो लागि प्रेम गर्न अपर्याप्त दुई तरिकाहरू के हुन्?	हाम्रो लागि शब्द वा जिब्रोमा मात्र प्रेम गर्न पर्याप्त छैन।
3:18	sh2i				हामीले प्रेम गर्नुपर्ने दुइटा तरिका के हो?	हामीले व्यवहारमा र सत्यमा प्रेम गर्नुपर्छ।
3:21	yz2h				यदि हाम्रो हृदयले हामीलाई दोषी ठहराउँदैन भने हामीसँग के छ?	यदि हाम्रो हृदयले हामीलाई दोषी ठहराउँदैन भने, हामी परमेश्‍वरमा भरोसा राख्छौँ।
3:23	wvkw				परमेश्‍वरले हामीलाई दिनुभएको आज्ञा के हो?	परमेश्‍वरको आज्ञा यो हो कि हामीले उहाँको पुत्र येशू ख्रीष्‍टको नाममा विश्‍वास गर्नुपर्छ र एकअर्कालाई प्रेम गर्नुपर्छ।
3:24	c6pa				विश्‍वासीहरूले कसरी थाहा पाउँछन् कि परमेश्‍वर तिनीहरूमा रहनुहुन्छ?	परमेश्‍वरले विश्‍वासीहरूलाई पवित्र आत्मा दिनुभएको छ ताकि उनीहरूलाई थाहा होस् कि परमेश्‍वर तिनीहरूमा रहनुहुन्छ।
4:1	rxps				विश्‍वासीहरूले किन जुनसुकै आत्‍मालाई विश्‍वास गर्नु हुँदैन?	तिनीहरूले  जुनसुकै आत्मालाई विश्‍वास गर्नु हुँदैन किनभने त्यहाँ धेरै झूटा अगमवक्ताहरू संसारमा बाहिर गएका छन्।
4:2	w9sr				तपाईले परमेश्‍वरको आत्मालाई कसरी जान्‍न सक्नुहुन्छ?	येशू ख्रीष्‍ट शरीरमा आउनुभएको हो भनी स्वीकार गर्ने हरेक आत्मा परमेश्‍वरबाट हो।
4:3	raus				कुन आत्माले येशू ख्रीष्‍ट शरीरमा आउनुभएको हो भनेर स्वीकार गर्दैन?	ख्रीष्‍ट विरोधीको आत्माले येशू ख्रीष्‍ट शरीरमा आउनुभएको हो भनेर स्वीकार गर्दैन।
4:4	o8nn				विश्‍वासीहरूले परमेश्‍वरबाट नभएका आत्माहरूमाथि कसरी विजय पाउन सक्छन्?	हामी तिनीहरूमाथि विजय पाउन सक्छौँ किनभने हामी भित्रको आत्मा संसारमा भएको भन्दा महान् हुनुहुन्छ ।
4:7	y7ja				विश्‍वासीहरूले किन एकअर्कालाई प्रेम गर्नुपर्छ?	विश्‍वासीहरूले एकअर्कालाई प्रेम गर्नुपर्छ किनभने प्रेम परमेश्‍वरबाट हो, र परमेश्‍वरबाट जन्मेकोले प्रेम गर्नुहुन्छ।
4:8	x7ex				प्रेम नगर्नेले परमेश्‍वरलाई चिनेको छैन भनेर कसरी देखाउँछ?	परमेश्‍वरलाई चिन्‍ने मानिसहरूले प्रेम गर्छन् किनभने परमेश्‍वर प्रेम हुनुहुन्छ।
4:9	ax54				परमेश्‍वरले हामीप्रतिको आफ्नो प्रेम कसरी प्रकट गर्नुभयो?	परमेश्‍वरले आफ्नो एकमात्र पुत्रलाई संसारमा पठाएर हाम्रो लागि आफ्नो प्रेम प्रकट गर्नुभयो।
4:9	z4i9				पिताले आफ्नो पुत्रलाई कुन उद्देश्यले पठाउनुभयो?	पिताले आफ्नो पुत्रलाई पठाउनुभयो ताकि हामी उहाँद्वारा बाँच्‍न सकौँ।
4:15	glq3				यदि परमेश्‍वर एक व्यक्तिमा रहनुहुन्छ र ऊ परमेश्‍वरमा रहन्छ भने, त्यो व्यक्तिले येशूको बारेमा के स्वीकार गर्छ?	जो व्यक्ति परमेश्‍वरमा रहन्छ उसले स्वीकार गर्दछ कि येशू परमेश्‍वरको पुत्र हुनुहुन्छ।
4:17	bdox				न्यायको दिनमा परमेश्‍वरको प्रेमले हामीलाई कस्तो मनोवृत्ति दिनेछ?	परमेश्‍वरको प्रेमले हामीलाई न्यायको दिनमा भरोसा दिलाउनेछ।
4:19	xolq				हामी कसरी प्रेम गर्न सक्छौँ?	हामी प्रेम गर्छौँ किनभने परमेश्‍वरले पहिले हामीलाई प्रेम गर्नुभयो।
4:20	vyhw				यदि कसैले आफ्नो भाइलाई घृणा गर्छ भने, उसको परमेश्‍वरसँग के सम्बन्ध छ?	आफ्नो भाइलाई घृणा गर्ने मानिसले परमेश्‍वरलाई प्रेम गर्न सक्दैन।
4:21	sjha				परमेश्‍वरलाई प्रेम गर्नेले आफ्नो भाइलाई कस्तो व्यवहार गर्नुपर्छ?	परमेश्‍वरलाई प्रेम गर्नेले आफ्नो भाइलाई पनि प्रेम गर्नुपर्छ।
5:3	edbx				हामी परमेश्‍वरलाई प्रेम गर्छौँ भनेर कसरी देखाउन सक्छौँ?	हामीले उहाँका आज्ञाहरू पालन गर्दा हामी परमेश्‍वरलाई प्रेम गर्छौँ भनेर देखाउँछौँ।
5:4	pw9a				संसारलाई जितेको विजय के हो?	संसारलाई जितेको विजय विश्‍वास हो।
5:6	qola				येशू ख्रीष्‍ट कुन दुई कुराद्वारा आउनुभयो?	येशू ख्रीष्‍ट पानी र रगतद्वारा आउनुभयो।
5:8	je7z				येशू ख्रीष्‍टको बारेमा कुन तीनवटा कुराहरूले गवाही दिन्छन्?	पवित्र आत्मा, पानी र रगत सबैले येशू ख्रीष्‍टको बारेमा गवाही दिन्छन्।
5:10	s4ar				यदि कसैले परमेश्‍वरको पुत्रको बारेमा गवाहीलाई विश्‍वास गर्दैन भने, तिनीहरूले परमेश्‍वरलाई के बनाउँछन्?	परमेश्‍वरको पुत्रको गवाहीमा विश्‍वास नगर्ने जो कोहीले परमेश्‍वरलाई झूटो बनाउँछ।
5:11	lgj0				परमेश्‍वरले हामीलाई उहाँको पुत्रमा के दिनुभएको छ?	परमेश्‍वरले हामीलाई उहाँको पुत्रमा अनन्त जीवन दिनुभएको छ।
5:14	xweh				विश्‍वासीहरूलाई परमेश्‍वरको अगाडि कस्तो भरोसा छ?	विश्‍वासीहरूलाई विश्‍वास छ कि यदि तिनीहरूले परमेश्‍वरको इच्छा अनुसार केहि माग्छन् भने, उहाँले तिनीहरूलाई सुन्‍नुहुन्छ।
5:16	yo4u				आफ्नो भाइले मृत्‍युमा पुर्‍याउने पाप गरेको देख्दा विश्‍वासीले के गर्नुपर्छ?	एक विश्‍वासी जसले आफ्नो भाइलाई मृत्‍युमा पुर्‍याउने पाप गरेको देख्छ उसले परमेश्‍वरले उसको भाइलाई जीवन देउन् भनेर प्रार्थना गर्नुपर्छ्
5:17	dgvx				सबै अधर्म के हो?	सबै अधर्म पाप हो।
5:19	afpx				सारा संसार कहाँ छ?	सारा संसार दुष्‍टतामा छ।
5:20	xwlk				परमेश्‍वरको पुत्रले हामीलाई दिनुभएको समझको परिणाम के हो?	परमेश्‍वरको पुत्रले हामीलाई दिनुभएको समझको कारणले, हामीले सत्यतालाई चिन्‍न सक्छौँ।
5:21	e9og				विश्‍वासीहरूले आफूलाई केबाट जोगाउनुपर्छ?	विश्‍वासीहरूले आफूलाई मूर्तिहरूबाट जोगाउनुपर्छ।
