Reference	ID	Tags	Quote	Occurrence	Question	Response
3:3	j0y4				पावलले आफूलाई केको लागि नियुक्त गरिएको बताए?	पावलले आफू दु:खको लागि नियुक्त भएको बताए।
3:5	ksba				थिस्सलोनिकीहरूको सन्दर्भमा पावल के चिन्तित थिए?	पावल चिन्तित थिए कि कुनै न कुनै रूपमा प्रलोभनले तिनीहरूलाई प्रलोभनमा पारेको छ र उनको परिश्रम व्यर्थ भएको छ।
3:6-7	txwz				तिमोथी थिस्सलोनिकीबाट फर्कंदा पावललाई केले सान्त्वना दियो?	थिस्सलोनिकीहरूको विश्वास र प्रेमको सुसमाचार सुनेर पावलले सान्त्वना पाए र तिनीहरू उहाँलाई भेट्न चाहन्थे।
3:8	eu19				पावल भन्छन् कि यदि थिस्सलोनिकीहरूले के गरे भने उनी बाँच्छन्?	पावल भन्छन् कि यदि थिस्सलोनिकीहरू प्रभुमा अडिग छन् भने उहाँ जीवित हुनुहुन्छ।
3:10	t3l7				पावलले दिनरात केको लागि प्रार्थना गर्छ?	पावलले थेसलोनिकीहरूलाई देख्न र तिनीहरूको विश्वासमा कमी भएको कुराहरू प्रदान गर्न दिनदिनै प्रार्थना गर्छन्।
3:12	ifsm				 कुन कुरामा  थिस्सलोनिकीहरू बढ्दै र प्रशस्त भएको पावल चाहन्छन्?	थिस्सलोनिकीहरूको एकअर्काप्रति र सबै मानिसहरूप्रति प्रेम बढोस् भन्ने पावलको इच्छा छ।
3:13	jsfc				थिस्सलोनिकीहरूको हृदय पवित्रतामा निर्दोष राखेर तिनीहरू कुन घटनाको लागि तयार भएको पावल चाहन्छन्?	प्रभु येशूका सबै पवित्र जनहरूसँगै थिस्सलोनिकीहरू तयार भएको पावल चाहन्छन्।
4:1-2	mqqb				थिस्सलोनिकीहरूले कसरी हिंड्नुपर्छ र परमेश्वरलाई खुसी पार्नुपर्छ भनेर तिनले तिनीहरूलाई दिएको निर्देशनअनुसार पावलले के गरून् भन्ने चाहन्थे?	थिस्सलोनिकीहरू निरन्तर परमेश्वरसँग हिंडून् र परमेश्वरलाई खुसी तुल्याऊन् र अझ धेरै काम गरून् भनी पावल चाहन्थे।
4:3	j6zy				थिस्सलोनिकीहरूका लागि परमेश्वरको इच्छा के हो भनेर पावलले के भने?	थिस्सलोनिकीहरूका लागि परमेश्वरको इच्छा तिनीहरूको पवित्रीकरण हो भनी पावलले बताए ।
4:4	nwbv				पतिहरूले आफ्नी पत्नीसित कस्तो व्यवहार गर्नुपर्थ्यो?	पतिहरूले आफ्ना पत्नीहरूलाई पवित्रता र आदरका साथ व्यवहार गर्नुपर्थ्यो।
4:6	sshf				यौन अनैतिकताको मामिलामा पाप गर्ने भाइलाई के हुनेछ?	यौन अनैतिकताको मामिलामा पाप गर्ने भाइको बदला परमप्रभुले लिनुहुनेछ।
4:8	p71q				पवित्रताको आह्वानलाई इन्कार गर्ने व्यक्तिले कसलाई इन्कार गर्छ?	पवित्रताको आह्वानलाई इन्कार गर्ने व्यक्तिले परमेश्वरलाई इन्कार गर्छ ।
4:9-10	wni9				थिस्सलोनिकीहरूले के गरिरहेका थिए जुन पावलले तिनीहरूले अझ बढी गरून् भन्ने चाहन्थे?	थिस्सलोनिकीहरूले एकअर्कालाई अझ बढी प्रेम गरून् भन्ने पावल चाहन्थे।
4:11-12	gj89				थिस्सलोनिकीहरूले के गर्नु पर्ने थियो ताकि तिनीहरू अविश्वासीहरूको सामुन्ने ठीकसँग हिंड्थे र तिनीहरूलाई कुनै कुराको खाँचो परेन?	थिस्सलोनिकीहरू शान्त हुनुपर्थ्यो, आफ्नै कामलाई ध्यान दिनुपर्थ्यो र आफ्नै हातले काम गर्नुपर्थ्यो।
4:13	n5xh				थिस्सलोनिकीहरूमा कुन विषयमा असमझदारी भएको हुन सक्छ?	सुतिगएकाहरूलाई के भयो भनेर थिस्सलोनिकीहरूले सायद गलत बुझेका थिए होलान्इ ।
4:14	cc78				येशूमा मरेकाहरूको लागि परमेश्वरले के गर्नुहुनेछ?	ख्रीष्टमा मरेकाहरूलाई परमेश्वरले येशूसँगै ल्याउनुहुनेछ।
4:16	y01z				प्रभु स्वर्गबाट कसरी ओर्लिनुहुनेछ?	प्रभु गर्जनसित र परमेश्वरका तुरहीको सोरसित स्वर्गबाट ओर्लिनुहुनेछ।
4:16-17	w4lj				को पहिला बौरीउठ्नेछ र त्यसपछि को तिनीहरूसँग उठाइलगिनेछ?	ख्रीष्टमा मरेकाहरू पहिले बौरी उठ्नेछन्, त्यसपछि जो जीवित छन् तिनीहरू उनीहरूसँगै उठाइलगिनेछन्।
4:17	h18n				बौरिउठ्नेहरूले कसलाई भेट्नेछन् र कहिलेसम्म?	बौरिउठ्ने मानिसहरूले  प्रभुलाई आकाशमा भेट्नेछन्। तब तिनीहरू सदा-सर्वदा प्रभुसित रहनेछन्।
4:18	ddhx				\nपावलले थिस्सलोनिकीहरूलाई निदाएकाहरूबारे सिकाएको शिक्षासित के गर्न भने?	पावलले थिस्सलोनिकीहरूलाई आफ्ना शब्दहरूद्वारा एकअर्कालाई सान्त्वना दिन भने।
5:2	fshz				प्रभुको दिन आउनेछ भनेर पावलले कसरी भन्छन्?	पावलले भने कि प्रभुको दिन त रातमा चोर आएझैं आउनेछ।
5:3	za4n				कोही-कोही मानिसहरूमाथि अचानक विनाश आउँदा तिनीहरूले के भन्नेछन्?	कोही-कोही मानिसहरूले "शान्ति र सुरक्षा" भनिरहेका हुनेछन्।
5:4-5	id8z				पावलले किन प्रभुको दिनले विश्वासीहरूलाई चोरले झैं उछिन्न दिनु हुँदैन भन्छन्?	विश्वासीहरू अन्धकारमा छैनन्, तर ज्योतिका सन्तानहरू हुन्, त्यसैले प्रभुको दिनले तिनीहरूलाई चोरले झैं उछिन्न दिनु हुँदैन।
5:6	bu2n				प्रभुको आगमनको दिनबारे पावलले विश्वासीहरूलाई के गर्न भन्छन्?	पावलले विश्वासीहरूलाई होसियार रहन र संयमित हुन सल्लाह दिन्छन्।
5:9	w9s4				परमेश्वरले विश्वासीहरूलाई केका लागि अघिबाटै नियुक्ति गर्नुभएको छ ?	विश्वासीहरू प्रभु येशू ख्रीष्टमार्फत मुक्तिको लागि परमेश्वरद्वारा अघिबाटै नियुक्ति गर्नुभएको हो।
5:12-13	fwhv				विश्वासीहरूले प्रभुमा आफूभन्दा माथिकाहरूप्रति कस्तो मनोवृत्ति राख्नुपर्छ भनी पावलले बताए?	पावलले भने कि तिनीहरूले तिनीहरूलाई प्रेममा स्वीकार्नुपर्छ र उच्च आदर गर्नुपर्छ।
5:15	e8l5				आफूमाथि दुष्टता आइपर्दा कसैले पनि के गर्नु हुँदैन भनेर पावलले भने ?	पावल भन्छन् कि कसैले पनि दुष्टताको बदला लिनु हुँदैन जब तिनीहरूमाथि दुष्टता हुन्छ।
5:18	j9n0				विश्वासीहरूले हरेक कुरामा के गर्नुपर्छ भनेर पावल भन्छन्, र किन?	पावल भन्छन् कि विश्वासीहरूले हरेक कुरामा धन्यवाद दिनुपर्छ, किनकि तिनीहरूका निम्ति परमेश्वरको इच्छा यही हो।
5:20-21	gwld				भविष्यवाणीहरूबारे पावलले विश्वासीहरूलाई कस्तो निर्देशन दिन्छन्?	पावलले विश्वासीहरूलाई अगमवाणीहरूलाई तुच्छ नठान्न र सबै कुराको जाँच गर्न र असल कुराहरूमा अडिग रहन निर्देशन दिन्छन्।
5:23	uvxs				विश्वासीहरूका लागि परमेश्वरले के गर्नुहुनेछ भनेर पावलले प्रार्थना गर्छन् ?	परमेश्वरले विश्वासीहरूलाई आत्मा, प्राण र शरीरमा पूर्णतया पवित्र पार्नुहुनेछ भनी पावल प्रार्थना गर्छन् ।
5:28	pn17				पावलले विश्वासीहरूसित के हुन्छ भनी प्रार्थना गर्छन् ?	प्रभु येशू ख्रीष्टको अनुग्रह विश्वासीहरूको साथमा रहोस् भनेर पावल प्रार्थना गर्छन्।
